順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,持ち物_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,持ち物_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,持ち物_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,持ち物_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,持ち物_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,持ち物_6
492,2513.037,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0130-00,ギャラドス,,みず,ひこう,一般,,たべのこし,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,きあいのタスキ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト
494,2512.940,0914-00,ウェーニバル,,みず,かくとう,一般,,きあいのタスキ,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,たべのこし,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0071-00,ウツボット,,くさ,どく,一般,,ウツボットナイト,0130-00,ギャラドス,,みず,ひこう,一般,,オボンのみ,0706-01,ヌメルゴン,ヒスイのすがた,はがね,ドラゴン,一般,,ヨプのみ
495,2512.791,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ようせいのハネ,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,カゴのみ,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ
497,2512.639,0478-00,ユキメノコ,,こおり,ゴースト,一般,,,0445-00,ガブリアス,,ドラゴン,じめん,一般,,,0003-00,フシギバナ,,くさ,どく,一般,,,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,,0637-00,ウルガモス,,むし,ほのお,一般,,,0184-00,マリルリ,,みず,フェアリー,一般,,
498,2512.597,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ
499,2512.533,0475-00,エルレイド,,エスパー,かくとう,一般,,エルレイドナイト,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ラムのみ,0637-00,ウルガモス,,むし,ほのお,一般,,たべのこし,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ
501,2512.410,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0637-00,ウルガモス,,むし,ほのお,一般,,ラムのみ,0956-00,クエスパトラ,,エスパー,,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ
503,2512.131,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ
504,2512.063,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,ピントレンズ
507,2511.893,0279-00,ペリッパー,,みず,ひこう,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,オボンのみ
510,2511.820,0279-00,ペリッパー,,みず,ひこう,一般,,しんぴのしずく,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0197-00,ブラッキー,,あく,,一般,,たべのこし,0970-00,キラフロル,,いわ,どく,一般,,カゴのみ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト
511,2511.791,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0956-00,クエスパトラ,,エスパー,,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,
512,2509.746,0136-00,ブースター,,ほのお,,一般,,きあいのタスキ,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト,0248-00,バンギラス,,いわ,あく,一般,,たべのこし,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ラムのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ
513,2511.671,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0143-00,カビゴン,,ノーマル,,一般,,ヨプのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,しんぴのしずく
515,2511.426,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0479-01,ロトム,ヒートロトム,でんき,ほのお,一般,,こだわりスカーフ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト
516,2511.390,0730-00,アシレーヌ,,みず,フェアリー,一般,,カゴのみ,0914-00,ウェーニバル,,みず,かくとう,一般,,ラムのみ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,ピントレンズ,0450-00,カバルドン,,じめん,,一般,,たべのこし,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト
518,2511.014,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0282-00,サーナイト,,エスパー,フェアリー,一般,,サーナイトナイト
521,2510.880,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0130-00,ギャラドス,,みず,ひこう,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト
527,2510.473,0727-00,ガオガエン,,ほのお,あく,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0695-00,エレザード,,でんき,ノーマル,一般,,きあいのタスキ,0227-00,エアームド,,はがね,ひこう,一般,,エアームドナイト,0902-01,イダイトウ,メスのすがた,みず,ゴースト,一般,,のろいのおふだ,0282-00,サーナイト,,エスパー,フェアリー,一般,,ビアーのみ
529,2510.257,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0908-00,マスカーニャ,,くさ,あく,一般,,きあいのタスキ,0855-00,ポットデス,がんさくフォルム,ゴースト,,一般,,しろいハーブ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ,0637-00,ウルガモス,,むし,ほのお,一般,,オボンのみ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト
530,2510.083,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,たべのこし,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト
532,2509.811,0903-00,オオニューラ,,かくとう,どく,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0009-00,カメックス,,みず,,一般,,カメックスナイト,0584-00,バイバニラ,,こおり,,一般,,とけないこおり,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ
533,2509.797,0968-00,ミミズズ,,はがね,,一般,,,0428-00,ミミロップ,,ノーマル,,一般,,,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,,0003-00,フシギバナ,,くさ,どく,一般,,,0730-00,アシレーヌ,,みず,フェアリー,一般,,,0445-00,ガブリアス,,ドラゴン,じめん,一般,,
533,2509.797,0968-00,ミミズズ,,はがね,,一般,,オボンのみ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,しんぴのしずく,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ
534,2509.796,0478-00,ユキメノコ,,こおり,ゴースト,一般,,ユキメノコナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,たべのこし,0752-00,オニシズクモ,,みず,むし,一般,,せんせいのツメ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト
535,2509.791,0748-00,ドヒドイデ,,どく,みず,一般,,オボンのみ,0652-00,ブリガロン,,くさ,かくとう,一般,,ブリガロナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ
539,2509.531,0319-00,サメハダー,,みず,あく,一般,,サメハダナイト,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0473-00,マンムー,,こおり,じめん,一般,,きあいのタスキ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0130-00,ギャラドス,,みず,ひこう,一般,,たべのこし,0903-00,オオニューラ,,かくとう,どく,一般,,くろおび
542,2509.370,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ
544,2509.188,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0132-00,メタモン,,ノーマル,,一般,,こだわりスカーフ,0635-00,サザンドラ,,あく,ドラゴン,一般,,くろおび,0939-00,ハラバリー,,でんき,,一般,,オボンのみ
545,2509.124,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,こだわりスカーフ,0939-00,ハラバリー,,でんき,,一般,,じしゃく,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,くろいメガネ
548,2508.552,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ,0009-00,カメックス,,みず,,一般,,カメックスナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし
550,2508.495,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0658-00,ゲッコウガ,,みず,あく,一般,,きあいのタスキ
551,2508.491,0748-00,ドヒドイデ,,どく,みず,一般,,持ち物なし,0248-00,バンギラス,,いわ,あく,一般,,たべのこし,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0302-00,ヤミラミ,,あく,ゴースト,一般,,ヤミラミナイト,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,シュカのみ,0080-00,ヤドラン,,みず,エスパー,一般,,ヤドランナイト
552,2508.474,0279-00,ペリッパー,,みず,ひこう,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ
553,2508.445,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0279-00,ペリッパー,,みず,ひこう,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ
554,2508.422,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0450-00,カバルドン,,じめん,,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ
556,2508.000,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0197-00,ブラッキー,,あく,,一般,,たべのこし,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト
561,2507.658,0248-00,バンギラス,,いわ,あく,一般,,たべのこし,0154-00,メガニウム,,くさ,,一般,,メガニウムナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0748-00,ドヒドイデ,,どく,みず,一般,,持ち物なし,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト,0530-00,ドリュウズ,,じめん,はがね,一般,,カゴのみ
563,2507.625,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ようせいのハネ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ
567,2507.381,0658-00,ゲッコウガ,,みず,あく,一般,,ゲッコウガナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0130-00,ギャラドス,,みず,ひこう,一般,,たべのこし,0637-00,ウルガモス,,むし,ほのお,一般,,オボンのみ
574,2506.714,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0936-00,グレンアルマ,,ほのお,エスパー,一般,,シュカのみ,0635-00,サザンドラ,,あく,ドラゴン,一般,,きあいのタスキ
578,2506.222,0279-00,ペリッパー,,みず,ひこう,一般,,ラムのみ,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ようせいのハネ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,ヨプのみ
589,2505.104,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0071-00,ウツボット,,くさ,どく,一般,,ウツボットナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0279-00,ペリッパー,,みず,ひこう,一般,,オボンのみ
590,2505.094,0748-00,ドヒドイデ,,どく,みず,一般,,たべのこし,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,のろいのおふだ,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,きあいのタスキ
591,2504.965,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,こだわりスカーフ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0936-00,グレンアルマ,,ほのお,エスパー,一般,,きあいのタスキ
597,2504.821,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0903-00,オオニューラ,,かくとう,どく,一般,,きあいのタスキ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト
598,2504.622,0939-00,ハラバリー,,でんき,,一般,,たべのこし,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,0748-00,ドヒドイデ,,どく,みず,一般,,持ち物なし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ラムのみ
600,2504.603,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0530-00,ドリュウズ,,じめん,はがね,一般,,やわらかいすな,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0154-00,メガニウム,,くさ,,一般,,メガニウムナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0903-00,オオニューラ,,かくとう,どく,一般,,こだわりスカーフ
601,2504.496,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ガブリアスナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ
604,2504.323,0127-00,カイロス,,むし,,一般,,カイロスナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,ラムのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ
605,2504.257,0197-00,ブラッキー,,あく,,一般,,たべのこし,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,ラムのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト
607,2504.217,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ようせいのハネ,0983-00,ドドゲザン,,あく,はがね,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0143-00,カビゴン,,ノーマル,,一般,,ヨプのみ
609,2504.067,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0911-00,ラウドボーン,,ほのお,ゴースト,一般,,たべのこし
610,2504.028,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,くろいメガネ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし
612,2503.979,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト,0637-00,ウルガモス,,むし,ほのお,一般,,たべのこし,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ,0823-00,アーマーガア,,ひこう,はがね,一般,,持ち物なし
613,2503.973,0279-00,ペリッパー,,みず,ひこう,一般,,ラムのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ようせいのハネ,0637-00,ウルガモス,,むし,ほのお,一般,,オボンのみ
617,2503.502,0136-00,ブースター,,ほのお,,一般,,たべのこし,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,ピントレンズ,0752-00,オニシズクモ,,みず,むし,一般,,オボンのみ,0660-00,ホルード,,ノーマル,じめん,一般,,きあいのタスキ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト
630,2502.633,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく
632,2502.457,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0956-00,クエスパトラ,,エスパー,,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0584-00,バイバニラ,,こおり,,一般,,とけないこおり
634,2502.258,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,たべのこし,0908-00,マスカーニャ,,くさ,あく,一般,,きあいのタスキ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ
635,2502.000,0448-00,ルカリオ,,かくとう,はがね,一般,,こだわりスカーフ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0666-18,ビビヨン,ファンシーなもよう,むし,ひこう,一般,,たべのこし,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ピントレンズ
636,2502.198,0983-00,ドドゲザン,,あく,はがね,一般,,ラムのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ
